"C02414V02915","Sector","TLIST(A1)","Year","STATISTIC","Statistic Label","UNIT","VALUE"
"25","Rubber and plastic products (NACE 25)","1996","1996","EAA01C2","Nitrous Oxide (N2O) Emissions","000 Tonnes","0"
"25","Rubber and plastic products (NACE 25)","1996","1996","EAA01C3","Methane (CH4) Emissions","000 Tonnes","0"
"25","Rubber and plastic products (NACE 25)","1996","1996","EAA01C4","All Greenhouse Gas Emissions","000 Tonnes CO2 equivalent","328.3"
"25","Rubber and plastic products (NACE 25)","1997","1997","EAA01C1","Carbon Dioxide (CO2) Emissions","000 Tonnes","134.9"
"25","Rubber and plastic products (NACE 25)","1997","1997","EAA01C2","Nitrous Oxide (N2O) Emissions","000 Tonnes","0.01"
"25","Rubber and plastic products (NACE 25)","1997","1997","EAA01C3","Methane (CH4) Emissions","000 Tonnes","0"
"25","Rubber and plastic products (NACE 25)","1997","1997","EAA01C4","All Greenhouse Gas Emissions","000 Tonnes CO2 equivalent","138.8"
"25","Rubber and plastic products (NACE 25)","1998","1998","EAA01C1","Carbon Dioxide (CO2) Emissions","000 Tonnes","124.77"
"25","Rubber and plastic products (NACE 25)","1998","1998","EAA01C2","Nitrous Oxide (N2O) Emissions","000 Tonnes","0.02"
"25","Rubber and plastic products (NACE 25)","1998","1998","EAA01C3","Methane (CH4) Emissions","000 Tonnes","0.01"
"25","Rubber and plastic products (NACE 25)","1998","1998","EAA01C4","All Greenhouse Gas Emissions","000 Tonnes CO2 equivalent","131.46"
"25","Rubber and plastic products (NACE 25)","1999","1999","EAA01C1","Carbon Dioxide (CO2) Emissions","000 Tonnes","128.41"
"25","Rubber and plastic products (NACE 25)","1999","1999","EAA01C2","Nitrous Oxide (N2O) Emissions","000 Tonnes","0.02"
"25","Rubber and plastic products (NACE 25)","1999","1999","EAA01C3","Methane (CH4) Emissions","000 Tonnes","0.01"
"25","Rubber and plastic products (NACE 25)","1999","1999","EAA01C4","All Greenhouse Gas Emissions","000 Tonnes CO2 equivalent","135.4"
"25","Rubber and plastic products (NACE 25)","2000","2000","EAA01C1","Carbon Dioxide (CO2) Emissions","000 Tonnes","131.08"
"25","Rubber and plastic products (NACE 25)","2000","2000","EAA01C2","Nitrous Oxide (N2O) Emissions","000 Tonnes","0.02"
"25","Rubber and plastic products (NACE 25)","2000","2000","EAA01C3","Methane (CH4) Emissions","000 Tonnes","0.01"
"25","Rubber and plastic products (NACE 25)","2000","2000","EAA01C4","All Greenhouse Gas Emissions","000 Tonnes CO2 equivalent","137.87"
"25","Rubber and plastic products (NACE 25)","2001","2001","EAA01C1","Carbon Dioxide (CO2) Emissions","000 Tonnes","97.65"
"25","Rubber and plastic products (NACE 25)","2001","2001","EAA01C2","Nitrous Oxide (N2O) Emissions","000 Tonnes","0.02"
"25","Rubber and plastic products (NACE 25)","2001","2001","EAA01C3","Methane (CH4) Emissions","000 Tonnes","0.01"
"25","Rubber and plastic products (NACE 25)","2001","2001","EAA01C4","All Greenhouse Gas Emissions","000 Tonnes CO2 equivalent","102.59"
"25","Rubber and plastic products (NACE 25)","2002","2002","EAA01C1","Carbon Dioxide (CO2) Emissions","000 Tonnes","95.67"
"25","Rubber and plastic products (NACE 25)","2002","2002","EAA01C2","Nitrous Oxide (N2O) Emissions","000 Tonnes","0.01"
"25","Rubber and plastic products (NACE 25)","2002","2002","EAA01C3","Methane (CH4) Emissions","000 Tonnes","0.01"
"25","Rubber and plastic products (NACE 25)","2002","2002","EAA01C4","All Greenhouse Gas Emissions","000 Tonnes CO2 equivalent","100.02"
"25","Rubber and plastic products (NACE 25)","2003","2003","EAA01C1","Carbon Dioxide (CO2) Emissions","000 Tonnes","95.95"
"25","Rubber and plastic products (NACE 25)","2003","2003","EAA01C2","Nitrous Oxide (N2O) Emissions","000 Tonnes","0.01"
"25","Rubber and plastic products (NACE 25)","2003","2003","EAA01C3","Methane (CH4) Emissions","000 Tonnes","0.01"
"25","Rubber and plastic products (NACE 25)","2003","2003","EAA01C4","All Greenhouse Gas Emissions","000 Tonnes CO2 equivalent","99.75"
"25","Rubber and plastic products (NACE 25)","2004","2004","EAA01C1","Carbon Dioxide (CO2) Emissions","000 Tonnes","87.3"
"25","Rubber and plastic products (NACE 25)","2004","2004","EAA01C2","Nitrous Oxide (N2O) Emissions","000 Tonnes","0.01"
"25","Rubber and plastic products (NACE 25)","2004","2004","EAA01C3","Methane (CH4) Emissions","000 Tonnes","0.01"
"25","Rubber and plastic products (NACE 25)","2004","2004","EAA01C4","All Greenhouse Gas Emissions","000 Tonnes CO2 equivalent","90.75"
"25","Rubber and plastic products (NACE 25)","2005","2005","EAA01C1","Carbon Dioxide (CO2) Emissions","000 Tonnes","108.37"
"25","Rubber and plastic products (NACE 25)","2005","2005","EAA01C2","Nitrous Oxide (N2O) Emissions","000 Tonnes","0.01"
"25","Rubber and plastic products (NACE 25)","2005","2005","EAA01C3","Methane (CH4) Emissions","000 Tonnes","0.01"
"25","Rubber and plastic products (NACE 25)","2005","2005","EAA01C4","All Greenhouse Gas Emissions","000 Tonnes CO2 equivalent","112.21"
"25","Rubber and plastic products (NACE 25)","2006","2006","EAA01C1","Carbon Dioxide (CO2) Emissions","000 Tonnes","96.38"
"25","Rubber and plastic products (NACE 25)","2006","2006","EAA01C2","Nitrous Oxide (N2O) Emissions","000 Tonnes","0.01"
"25","Rubber and plastic products (NACE 25)","2006","2006","EAA01C3","Methane (CH4) Emissions","000 Tonnes","0.02"
"25","Rubber and plastic products (NACE 25)","2006","2006","EAA01C4","All Greenhouse Gas Emissions","000 Tonnes CO2 equivalent","100.05"
